Afghanistan33 00 N, 65 00 E
Akrotiri34 37 N, 32 58 E
Albania41 00 N, 20 00 E
Algeria28 00 N, 3 00 E
American Samoa14 20 S, 170 00 W
Andorra42 30 N, 1 30 E
Angola12 30 S, 18 30 E
Anguilla18 15 N, 63 10 W
Antarctica90 00 S, 0 00 E
Antigua and Barbuda17 03 N, 61 48 W
Arctic Ocean90 00 N, 0 00 E
Argentina34 00 S, 64 00 W
Armenia40 00 N, 45 00 E
Aruba12 30 N, 69 58 W
Ashmore and Cartier Islands12 25 S, 123 20 Enote - Ashmore Reef - 12 14 S, 123 05 E; Cartier Islet - 12 32 S, 123 32 E
Atlantic Ocean0 00 N, 25 00 W
Australia27 00 S, 133 00 E
Austria47 20 N, 13 20 E
Azerbaijan40 30 N, 47 30 E
Bahamas, The24 15 N, 76 00 W
Bahrain26 00 N, 50 33 E
Bangladesh24 00 N, 90 00 E
Barbados13 10 N, 59 32 W
Belarus53 00 N, 28 00 E
Belgium50 50 N, 4 00 E
Belize17 15 N, 88 45 W
Benin9 30 N, 2 15 E
Bermuda32 20 N, 64 45 W
Bhutan27 30 N, 90 30 E
Bolivia17 00 S, 65 00 W
Bosnia and Herzegovina44 00 N, 18 00 E
Botswana22 00 S, 24 00 E
Bouvet Island54 26 S, 3 24 E
Brazil10 00 S, 55 00 W
British Indian Ocean Territory6 00 S, 71 30 E;note - Diego Garcia 7 20 S, 72 25 E
British Virgin Islands18 30 N, 64 30 W
Brunei4 30 N, 114 40 E
Bulgaria43 00 N, 25 00 E
Burkina Faso13 00 N, 2 00 W
Burma22 00 N, 98 00 E
Burundi3 30 S, 30 00 E
Cabo Verde16 00 N, 24 00 W
Cambodia13 00 N, 105 00 E
Cameroon6 00 N, 12 00 E
Canada60 00 N, 95 00 W
Cayman Islands19 30 N, 80 30 W
Central African Republic7 00 N, 21 00 E
Chad15 00 N, 19 00 E
Chile30 00 S, 71 00 W
China35 00 N, 105 00 E
Christmas Island10 30 S, 105 40 E
Clipperton Island10 17 N, 109 13 W
Cocos (Keeling) Islands12 30 S, 96 50 E
Colombia4 00 N, 72 00 W
Comoros12 10 S, 44 15 E
Congo, Democratic Republic of the0 00 N, 25 00 E
